frases,categorias
Quero ver a minha fatura que vence esse mês.,fatura
Pode me enviar o código de barras da fatura por email?,fatura
Qual é o dia exato em que a minha fatura fecha todo mês?,fatura
Preciso da segunda via da fatura de abril.,fatura
Onde consulto minha fatura pelo aplicativo?,fatura
Minha fatura não chegou o que eu faço?,fatura
Gostaria de pagar a fatura adiantado.,fatura
Tem como mudar a data de vencimento da minha fatura?,fatura
Não estou conseguindo abrir o PDF da minha fatura.,fatura
Como faço para receber a fatura no meu WhatsApp?,fatura
Qual o valor total da minha fatura atual?,fatura
Quero o código de barras para pagar a fatura hoje.,fatura
Já paguei a fatura mas ainda consta em aberto.,fatura
Vocês enviam a fatura por correio?,fatura
Quero colocar minha fatura no débito automático.,fatura
Como tiro minha fatura do débito automático?,fatura
A fatura fechou com valor errado.,fatura
Não reconheço uma compra na minha fatura.,fatura
Minha fatura vence hoje posso pagar amanhã?,fatura
Qual o melhor dia para comprar considerando o fechamento da fatura?,fatura
Onde vejo o histórico das minhas faturas antigas?,fatura
Preciso do boleto da fatura atrasada.,fatura
Tem como pagar a fatura com saldo da conta?,fatura
A fatura zerada precisa ser paga?,fatura
Como antecipar o pagamento da fatura do mês que vem?,fatura
Preciso de mais limite no meu cartão como faço para pedir?,limite
Onde eu consulto o limite que ainda tenho disponível para compras?,limite
Por que meu limite de crédito foi reduzido sem aviso prévio?,limite
Quero aumentar meu limite para comprar uma geladeira.,limite
Meu limite não foi liberado após o pagamento.,limite
Como funciona o aumento automático de limite?,limite
Qual o valor do meu limite total?,limite
Quero diminuir o limite do meu cartão por segurança.,limite
Vocês podem dobrar o meu limite?,limite
Quanto tempo demora para liberar o limite depois que pago?,limite
Meu limite atual é muito baixo.,limite
Tem como transferir limite de um cartão para outro?,limite
Como peço uma análise para aumentar o limite?,limite
O limite do cartão adicional consome o meu limite principal?,limite
Quero saber quanto de limite eu tenho para saque.,limite
Por que negaram meu aumento de limite?,limite
Tentei passar o cartão e deu falta de limite.,limite
O limite compromete se eu fizer uma compra parcelada?,limite
Consigo limite emergencial?,limite
Como funciona a avaliação emergencial de crédito?,limite
Estoura o limite se eu passar 10 reais a mais?,limite
Qual o limite máximo que esse cartão pode ter?,limite
Posso enviar comprovante de renda para ter mais limite?,limite
O limite renova no dia que a fatura vira ou no dia que eu pago?,limite
Quero consultar meu limite disponível agora.,limite
Fui roubado preciso bloquear o cartão agora mesmo.,bloqueio
Perdi meu cartão na rua me ajuda a cancelar para ninguém usar.,bloqueio
Como faço o bloqueio temporário do meu cartão pelo aplicativo?,bloqueio
Acho que clonaram meu cartão quero bloquear.,bloqueio
Quero bloquear meu cartão físico mas continuar usando o virtual.,bloqueio
Como desbloquear o cartão que eu mesmo bloqueei?,bloqueio
O caixa eletrônico engoliu meu cartão bloqueiem por favor.,bloqueio
Meu cartão foi bloqueado por segurança como resolvo?,bloqueio
Fiz compras em outro estado e meu cartão sofreu bloqueio.,bloqueio
Preciso bloquear o cartão adicional do meu filho.,bloqueio
O bloqueio do cartão cancela minhas assinaturas?,bloqueio
Bloqueei o cartão por perda e depois achei posso desbloquear?,bloqueio
Alguém tentou usar meu cartão bloqueia urgente.,bloqueio
Como faço o bloqueio definitivo do cartão?,bloqueio
